id,idn,year,top1share,wages,minwage,sstran,totheal,tmedcv,ud,unioncent,cent,wcoord,epl,cgewap2,pop,plt15,po65,gdpncu,gdppp,govexp,leftseat,smr_adult_male_wbi,smr_adult_female_wbi,smr_under5_wbi,gini_net_v2,lifexp_wbi,smr_trans_who,smr_falls_who,min_wage4,revmin_wage4,wage4_new1,wage4_new2,wage4_new3,min_wage2_new,wcoord1,wcoord2,wcoord3,wcoord4,wcoord5,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10,year11,year12,year13,year14,year15,year16,year17,year18,year19,year20,year21,year22,year23,year24,year25,year26,year27,year28,year29,year30,year31,year32,year33,year34,year35,year36,year37,year38,year39,year40,year41,year42,year43,year44,year45,year46,year47,year48,year49,year50,year51,year52,year53,year54,year55,year56,plt15_pc,po65_pc,smr_adult_wbi,gdppp_cap,log_pop,log_gdppp_cap,log_smr_adult_wbi,log_smr_under5_wbi,log_lifexp_wbi,log_smr_trans_who,log_smr_falls_who,health,wwii,temp,law,pr,idn1,idn2,idn3,idn4,idn5,idn6,idn7,idn8,idn9,idn10,idn11,idn12,idn13,idn14,idn15,idn16,idn17,idn18,idn19,idn20,idn21,idn22,sample_smr,sample_inf,sample_life
1,1,1960,7.0900002,,6,3.8494053,649.90002,76,50.172928,4,,3,.30000001,6.1680002,10275,3103.6001,874.90002,17265,25312.9,21.580341,36.900002,200.002,115.945,24.9,,70.81707,,,1,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.30205354,.085148424,315.94699,2463.5427,9.2374687,7.8093557,5.7555742,3.2148678,4.2600999,,,.037642632,.57999998,21.65,0,.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1,1,1961,7.0999999,,6,4.2799821,725.52295,76,49.471809,4,.41854215,3,.30000001,6.5450001,10508.2,3185,894.59998,17389,25585.9,23.082924,37.900002,198.798,109.193,24.299999,,70.973167,,,1,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.30309662,.085133508,307.991,2434.8508,9.2599115,7.7976408,5.7300706,3.1904764,4.2623019,,,.041723099,.57999998,21.65,0,.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1,1,1962,7.23,4.4844122,6,4.1022468,745.479,76,49.521061,4,,3,.30000001,6.4299998,10700.5,3215.3999,913.59998,18470,28203.9,22.454134,49.200001,203.46201,112.52,23.700001,,70.942436,,,1,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.30049062,.085379183,315.98199,2635.7554,9.2780457,7.876925,5.7556853,3.1654751,4.261869,,,.040361613,.57999998,21.65,0,.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1,1,1963,7.3600001,4.6626773,6,4.0959134,814.79999,78,49.163414,4,.41422531,3,.30000001,6.243,10906.9,3263,933,20180,30696.5,22.723455,48.5,202.321,115.744,23.200001,,70.911705,,,1,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.29916841,.08554218,318.065,2814.4109,9.2971506,7.9425082,5.7622557,3.1441524,4.2614355,,,.040376611,.57999998,21.65,0,.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1,1,1964,6.8400002,4.9451237,6,3.9095881,922.52814,80,48.192963,4,,3,.30000001,6.6609998,11121.6,3316.2,948.09998,22099,33040.301,23.252436,41,209.649,118.397,22.700001,,70.880974,,,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.29817653,.08524853,328.04602,2970.8228,9.3166447,7.9965944,5.7931538,3.122365,4.2610021,,,.041745242,.57999998,21.65,0,.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1,1,1965,6.6900001,5.2646122,6,3.9430895,1021.3714,82,47.886345,4,.42433539,3,.30000001,6.6810002,11340.9,3360,966.29999,23797,34846.898,25.54878,41,207.71899,118.821,22.4,,70.850243,,,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.29627278,.085204877,326.53998,3072.6748,9.3361712,8.030304,5.7885523,3.109061,4.2605686,,,.042920176,.57999998,21.65,0,.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1,1,1966,6.4699998,5.5331674,7,3.8158472,1055.8,83,45.835175,4,,3,.30000001,6.9860001,11599.5,3419.71,986.26599,25506,38666.199,25.357508,40.299999,206.017,119.572,22.1,,70.819511,,,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.2948153,.085026592,325.58899,3333.4368,9.358717,8.1117592,5.7856359,3.0955777,4.2601347,,,.041394185,.57999998,21.65,0,.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1,1,1967,6.5799999,5.8989582,7,3.6849785,1224.0432,84,45.020214,4,.50040859,3,.30000001,7.0879998,11799.08,3455.2451,999.604,28176,41431.398,26.090055,33.099998,206.312,117.181,22,26.402189,70.86927,,,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.29284021,.084718809,323.49298,3511.4092,9.3757772,8.1637726,5.7791772,3.0910425,4.2608371,,,.04344276,.57999998,21.65,0,.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1,1,1968,6.3800001,6.260119,7,3.5529461,1357.7751,83,44.789837,4,,3,.30000001,7.1479998,12008.63,3486.418,1014.01,30737,46967.398,25.015888,33.099998,209.07401,116.936,21.9,26.485388,70.919022,,,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.29032603,.084440112,326.01001,3911.1372,9.3933811,8.2715836,5.7869282,3.0864866,4.2615385,,,.044173963,.57999998,21.65,0,.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1,1,1969,6.25,6.7949147,7,3.5452421,1523.4301,83,44.377941,4,.50644147,3,.30000001,6.954,12263.01,3546.5601,1026.694,34676,52672.301,24.454113,35.5,206.53999,112.951,21.700001,24.851736,70.968781,,,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.28920797,.083722837,319.491,4295.2183,9.4143429,8.3652573,5.7667289,3.0773122,4.2622399,,,.043933269,.57999998,21.65,0,.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
